r_x,f,t,y,m,r_y,l,r,ProductionByTechnologyByMode
RE1,DEMINDCOA,DEMINDCOA,2036,1,RE1,S11,RE1,3.9603
RE1,DEMINDCOA,DEMINDCOA,2037,1,RE1,S11,RE1,4.1381
RE1,DEMINDCOA,DEMINDCOA,2038,1,RE1,S11,RE1,4.316
RE1,DEMINDCOA,DEMINDCOA,2039,1,RE1,S11,RE1,4.4938
RE1,DEMINDCOA,DEMINDCOA,2040,1,RE1,S11,RE1,4.6716
RE1,DEMINDCOA,DEMINDCOA,2041,1,RE1,S11,RE1,4.8495
RE1,DEMINDCOA,DEMINDCOA,2042,1,RE1,S11,RE1,5.0273
RE1,DEMINDCOA,DEMINDCOA,2043,1,RE1,S11,RE1,5.2051
RE1,DEMINDCOA,DEMINDCOA,2044,1,RE1,S11,RE1,5.383
RE1,DEMINDCOA,DEMINDCOA,2045,1,RE1,S11,RE1,5.5608
RE1,DEMINDCOA,DEMINDCOA,2046,1,RE1,S11,RE1,5.7387
RE1,DEMINDCOA,DEMINDCOA,2047,1,RE1,S11,RE1,5.9165
RE1,DEMINDCOA,DEMINDCOA,2048,1,RE1,S11,RE1,6.0943
RE1,DEMINDCOA,DEMINDCOA,2049,1,RE1,S11,RE1,6.2722
RE1,DEMINDCOA,DEMINDCOA,2050,1,RE1,S11,RE1,6.45
RE1,PUBWAT,DEMPUBSURWAT,2022,1,RE1,S11,RE1,0.1905
RE1,PUBWAT,DEMPUBSURWAT,2030,1,RE1,S11,RE1,0.234
RE1,PWRWAT,DEMPWRSURWAT,2020,1,RE1,S11,RE1,0.0952
RE1,PWRWAT,DEMPWRSURWAT,2021,1,RE1,S11,RE1,0.0951
RE1,PWRWAT,DEMPWRSURWAT,2022,1,RE1,S11,RE1,0.0034
RE1,PWRWAT,DEMPWRSURWAT,2024,1,RE1,S11,RE1,0.0049
RE1,PWRWAT,DEMPWRSURWAT,2026,1,RE1,S11,RE1,0.0498
RE1,PWRWAT,DEMPWRSURWAT,2027,1,RE1,S11,RE1,0.0852
RE1,PWRWAT,DEMPWRSURWAT,2028,1,RE1,S11,RE1,0.0087
RE1,PWRWAT,DEMPWRSURWAT,2029,1,RE1,S11,RE1,0.0263
RE1,PWRWAT,DEMPWRSURWAT,2030,1,RE1,S11,RE1,0.0082
RE1,PWRWAT,DEMPWRSURWAT,2032,1,RE1,S11,RE1,0.0875
RE1,PWRWAT,DEMPWRSURWAT,2033,1,RE1,S11,RE1,0.1929
RE1,PWRWAT,DEMPWRSURWAT,2034,1,RE1,S11,RE1,0.328
RE1,PWRWAT,DEMPWRSURWAT,2035,1,RE1,S11,RE1,0.4534
RE1,PWRWAT,DEMPWRSURWAT,2036,1,RE1,S11,RE1,0.699
RE1,PWRWAT,DEMPWRSURWAT,2037,1,RE1,S11,RE1,0.9913
RE1,PWRWAT,DEMPWRSURWAT,2038,1,RE1,S11,RE1,1.3539
RE1,PWRWAT,DEMPWRSURWAT,2039,1,RE1,S11,RE1,1.8615
RE1,PWRWAT,DEMPWRSURWAT,2040,1,RE1,S11,RE1,1.72
RE1,PWRWAT,DEMPWRSURWAT,2041,1,RE1,S11,RE1,2.0567
RE1,PWRWAT,DEMPWRSURWAT,2042,1,RE1,S11,RE1,2.3172
RE1,PWRWAT,DEMPWRSURWAT,2043,1,RE1,S11,RE1,2.5559
RE1,PWRWAT,DEMPWRSURWAT,2044,1,RE1,S11,RE1,2.808
RE1,PWRWAT,DEMPWRSURWAT,2045,1,RE1,S11,RE1,2.8444
RE1,PWRWAT,DEMPWRSURWAT,2046,1,RE1,S11,RE1,2.8724
RE1,PWRWAT,DEMPWRSURWAT,2047,1,RE1,S11,RE1,2.6384
RE1,PWRWAT,DEMPWRSURWAT,2048,1,RE1,S11,RE1,2.8628
RE1,PWRWAT,DEMPWRSURWAT,2049,1,RE1,S11,RE1,2.8559
RE1,PWRWAT,DEMPWRSURWAT,2050,1,RE1,S11,RE1,2.8316
RE1,DEMRESBIO,DEMRESBIO,2020,1,RE1,S11,RE1,200.2497
RE1,DEMRESBIO,DEMRESBIO,2021,1,RE1,S11,RE1,205.5331
RE1,DEMRESBIO,DEMRESBIO,2022,1,RE1,S11,RE1,207.9244
RE1,DEMRESBIO,DEMRESBIO,2023,1,RE1,S11,RE1,210.1803
RE1,DEMRESBIO,DEMRESBIO,2024,1,RE1,S11,RE1,212.4435
RE1,DEMRESBIO,DEMRESBIO,2025,1,RE1,S11,RE1,214.7116
RE1,DEMRESBIO,DEMRESBIO,2026,1,RE1,S11,RE1,216.4341
RE1,DEMRESBIO,DEMRESBIO,2027,1,RE1,S11,RE1,218.3084
RE1,DEMRESBIO,DEMRESBIO,2028,1,RE1,S11,RE1,221.0882
RE1,DEMRESBIO,DEMRESBIO,2029,1,RE1,S11,RE1,223.3429
RE1,DEMRESBIO,DEMRESBIO,2030,1,RE1,S11,RE1,225.4367
RE1,DEMRESBIO,DEMRESBIO,2031,1,RE1,S11,RE1,224.5016
RE1,DEMRESBIO,DEMRESBIO,2032,1,RE1,S11,RE1,222.8183
RE1,DEMRESBIO,DEMRESBIO,2033,1,RE1,S11,RE1,221.0339
RE1,DEMRESBIO,DEMRESBIO,2034,1,RE1,S11,RE1,219.8118
RE1,DEMRESBIO,DEMRESBIO,2035,1,RE1,S11,RE1,221.1642
RE1,DEMRESBIO,DEMRESBIO,2036,1,RE1,S11,RE1,220.1719
RE1,DEMRESBIO,DEMRESBIO,2037,1,RE1,S11,RE1,219.1147
RE1,DEMRESBIO,DEMRESBIO,2038,1,RE1,S11,RE1,217.9852
RE1,DEMRESBIO,DEMRESBIO,2039,1,RE1,S11,RE1,216.7745
RE1,DEMRESBIO,DEMRESBIO,2040,1,RE1,S11,RE1,216.4228
RE1,DEMRESBIO,DEMRESBIO,2041,1,RE1,S11,RE1,213.1818
RE1,DEMRESBIO,DEMRESBIO,2042,1,RE1,S11,RE1,213.1063
RE1,DEMRESBIO,DEMRESBIO,2043,1,RE1,S11,RE1,213.1994
RE1,DEMRESBIO,DEMRESBIO,2044,1,RE1,S11,RE1,212.3609
RE1,DEMRESBIO,DEMRESBIO,2045,1,RE1,S11,RE1,210.777
RE1,DEMRESBIO,DEMRESBIO,2046,1,RE1,S11,RE1,209.2045
RE1,DEMRESBIO,DEMRESBIO,2047,1,RE1,S11,RE1,203.701
RE1,DEMRESBIO,DEMRESBIO,2048,1,RE1,S11,RE1,203.0293
RE1,DEMRESBIO,DEMRESBIO,2049,1,RE1,S11,RE1,202.1341
RE1,DEMRESBIO,DEMRESBIO,2050,1,RE1,S11,RE1,202.787
RE1,TRABIO,DEMTRABIO,2020,1,RE1,S11,RE1,0.0391
RE1,TRABIO,DEMTRABIO,2021,1,RE1,S11,RE1,0.0341
RE1,TRABIO,DEMTRABIO,2022,1,RE1,S11,RE1,0.0473
RE1,TRABIO,DEMTRABIO,2023,1,RE1,S11,RE1,0.0387
RE1,TRABIO,DEMTRABIO,2024,1,RE1,S11,RE1,0.0444
RE1,TRABIO,DEMTRABIO,2025,1,RE1,S11,RE1,0.0477
RE1,TRABIO,DEMTRABIO,2026,1,RE1,S11,RE1,0.0515
RE1,TRABIO,DEMTRABIO,2027,1,RE1,S11,RE1,0.0545
RE1,TRABIO,DEMTRABIO,2028,1,RE1,S11,RE1,0.0641
RE1,TRABIO,DEMTRABIO,2029,1,RE1,S11,RE1,0.0673
RE1,TRABIO,DEMTRABIO,2030,1,RE1,S11,RE1,0.0724
RE1,TRABIO,DEMTRABIO,2031,1,RE1,S11,RE1,0.0767
RE1,TRABIO,DEMTRABIO,2032,1,RE1,S11,RE1,0.0811
RE1,TRABIO,DEMTRABIO,2033,1,RE1,S11,RE1,0.0862
RE1,TRABIO,DEMTRABIO,2034,1,RE1,S11,RE1,0.0916
RE1,TRABIO,DEMTRABIO,2035,1,RE1,S11,RE1,0.0973
RE1,TRABIO,DEMTRABIO,2036,1,RE1,S11,RE1,0.1034
RE1,TRABIO,DEMTRABIO,2037,1,RE1,S11,RE1,0.1099
RE1,TRABIO,DEMTRABIO,2038,1,RE1,S11,RE1,0.1168
RE1,TRABIO,DEMTRABIO,2039,1,RE1,S11,RE1,0.1241
RE1,TRABIO,DEMTRABIO,2040,1,RE1,S11,RE1,0.1319
RE1,TRABIO,DEMTRABIO,2041,1,RE1,S11,RE1,0.1402
RE1,TRABIO,DEMTRABIO,2042,1,RE1,S11,RE1,0.149
RE1,TRABIO,DEMTRABIO,2043,1,RE1,S11,RE1,0.1583
RE1,TRABIO,DEMTRABIO,2044,1,RE1,S11,RE1,0.1684
RE1,TRABIO,DEMTRABIO,2045,1,RE1,S11,RE1,0.1814
RE1,TRABIO,DEMTRABIO,2046,1,RE1,S11,RE1,0.1954
RE1,TRABIO,DEMTRABIO,2047,1,RE1,S11,RE1,0.206
RE1,TRABIO,DEMTRABIO,2048,1,RE1,S11,RE1,0.2169
RE1,TRABIO,DEMTRABIO,2049,1,RE1,S11,RE1,0.2282
RE1,TRABIO,DEMTRABIO,2050,1,RE1,S11,RE1,0.2423
RE1,DEMTRA,DEMTRAPET,2020,1,RE1,S11,RE1,12.2363
RE1,DEMTRA,DEMTRAPET,2021,1,RE1,S11,RE1,12.7019
RE1,DEMTRA,DEMTRAPET,2022,1,RE1,S11,RE1,16.7121
RE1,DEMTRA,DEMTRAPET,2023,1,RE1,S11,RE1,20.7224
RE1,DEMTRA,DEMTRAPET,2024,1,RE1,S11,RE1,24.7327
RE1,DEMTRA,DEMTRAPET,2025,1,RE1,S11,RE1,28.743
RE1,DEMTRA,DEMTRAPET,2026,1,RE1,S11,RE1,32.7533
RE1,DEMTRA,DEMTRAPET,2027,1,RE1,S11,RE1,36.7635
RE1,DEMTRA,DEMTRAPET,2028,1,RE1,S11,RE1,40.7738
RE1,DEMTRA,DEMTRAPET,2029,1,RE1,S11,RE1,44.7841
RE1,DEMTRA,DEMTRAPET,2030,1,RE1,S11,RE1,48.7944
RE1,DEMTRA,DEMTRAPET,2031,1,RE1,S11,RE1,52.8047
RE1,DEMTRA,DEMTRAPET,2032,1,RE1,S11,RE1,56.8149
RE1,DEMTRA,DEMTRAPET,2033,1,RE1,S11,RE1,60.8252
RE1,DEMTRA,DEMTRAPET,2034,1,RE1,S11,RE1,64.8355
RE1,DEMTRA,DEMTRAPET,2035,1,RE1,S11,RE1,68.8458
RE1,DEMTRA,DEMTRAPET,2036,1,RE1,S11,RE1,72.8561
RE1,DEMTRA,DEMTRAPET,2037,1,RE1,S11,RE1,76.8664
RE1,DEMTRA,DEMTRAPET,2038,1,RE1,S11,RE1,80.8766
RE1,DEMTRA,DEMTRAPET,2039,1,RE1,S11,RE1,84.8869
RE1,DEMTRA,DEMTRAPET,2040,1,RE1,S11,RE1,88.8972
RE1,DEMTRA,DEMTRAPET,2041,1,RE1,S11,RE1,92.9075
RE1,DEMTRA,DEMTRAPET,2042,1,RE1,S11,RE1,96.9178
RE1,DEMTRA,DEMTRAPET,2043,1,RE1,S11,RE1,100.928
RE1,DEMTRA,DEMTRAPET,2044,1,RE1,S11,RE1,104.9383
RE1,DEMTRA,DEMTRAPET,2045,1,RE1,S11,RE1,108.9486
RE1,DEMTRA,DEMTRAPET,2046,1,RE1,S11,RE1,112.9589
RE1,DEMTRA,DEMTRAPET,2047,1,RE1,S11,RE1,116.9692
RE1,DEMTRA,DEMTRAPET,2048,1,RE1,S11,RE1,120.9794
RE1,DEMTRA,DEMTRAPET,2049,1,RE1,S11,RE1,124.9897
RE1,DEMTRA,DEMTRAPET,2050,1,RE1,S11,RE1,129.0
RE1,CRPBRL,IMPBRL,2020,1,RE1,S11,RE1,0.0326
RE1,CRPBRL,IMPBRL,2021,1,RE1,S11,RE1,0.0329
RE1,CRPBRL,IMPBRL,2022,1,RE1,S11,RE1,0.0326
RE1,CRPBRL,IMPBRL,2023,1,RE1,S11,RE1,0.0322
RE1,CRPBRL,IMPBRL,2024,1,RE1,S11,RE1,0.0319
RE1,CRPBRL,IMPBRL,2025,1,RE1,S11,RE1,0.0316
RE1,CRPBRL,IMPBRL,2026,1,RE1,S11,RE1,0.0313
RE1,CRPBRL,IMPBRL,2027,1,RE1,S11,RE1,0.031
RE1,CRPBRL,IMPBRL,2028,1,RE1,S11,RE1,0.0307
RE1,CRPBRL,IMPBRL,2029,1,RE1,S11,RE1,0.0297
RE1,CRPBRL,IMPBRL,2030,1,RE1,S11,RE1,0.0289
RE1,CRPBRL,IMPBRL,2031,1,RE1,S11,RE1,0.028
RE1,CRPBRL,IMPBRL,2032,1,RE1,S11,RE1,0.0272
RE1,CRPBRL,IMPBRL,2033,1,RE1,S11,RE1,0.0263
RE1,CRPBRL,IMPBRL,2034,1,RE1,S11,RE1,0.025
RE1,CRPBRL,IMPBRL,2035,1,RE1,S11,RE1,0.0238
RE1,CRPBRL,IMPBRL,2036,1,RE1,S11,RE1,0.0226
RE1,CRPBRL,IMPBRL,2037,1,RE1,S11,RE1,0.0215
RE1,CRPBRL,IMPBRL,2038,1,RE1,S11,RE1,0.0204
RE1,CRPBRL,IMPBRL,2039,1,RE1,S11,RE1,0.0183
RE1,CRPBRL,IMPBRL,2040,1,RE1,S11,RE1,0.0165
RE1,CRPBRL,IMPBRL,2041,1,RE1,S11,RE1,0.0149
RE1,CRPBRL,IMPBRL,2042,1,RE1,S11,RE1,0.0134
RE1,CRPBRL,IMPBRL,2043,1,RE1,S11,RE1,0.012
RE1,CRPBRL,IMPBRL,2044,1,RE1,S11,RE1,0.006
RE1,CRPBRL,IMPBRL,2045,1,RE1,S11,RE1,0.003
RE1,CRPBRL,IMPBRL,2046,1,RE1,S11,RE1,0.0015
RE1,CRPBRL,IMPBRL,2047,1,RE1,S11,RE1,0.0007
RE1,CRPBRL,IMPBRL,2048,1,RE1,S11,RE1,0.0004
RE1,CRPBRL,IMPBRL,2049,1,RE1,S11,RE1,0.0002
RE1,CRPBRL,IMPBRL,2050,1,RE1,S11,RE1,0.0001
RE1,CRPCER,IMPCER,2020,1,RE1,S11,RE1,0.0478
RE1,CRPCER,IMPCER,2021,1,RE1,S11,RE1,0.0483
RE1,CRPCER,IMPCER,2022,1,RE1,S11,RE1,0.0478
RE1,CRPCER,IMPCER,2023,1,RE1,S11,RE1,0.0473
RE1,CRPCER,IMPCER,2024,1,RE1,S11,RE1,0.0469
RE1,CRPCER,IMPCER,2025,1,RE1,S11,RE1,0.0464
RE1,CRPCER,IMPCER,2026,1,RE1,S11,RE1,0.0459
RE1,CRPCER,IMPCER,2027,1,RE1,S11,RE1,0.0455
RE1,CRPCER,IMPCER,2028,1,RE1,S11,RE1,0.045
RE1,CRPCER,IMPCER,2029,1,RE1,S11,RE1,0.0437
RE1,CRPCER,IMPCER,2030,1,RE1,S11,RE1,0.0424
RE1,CRPCER,IMPCER,2031,1,RE1,S11,RE1,0.0411
RE1,CRPCER,IMPCER,2032,1,RE1,S11,RE1,0.0399
RE1,CRPCER,IMPCER,2033,1,RE1,S11,RE1,0.0387
RE1,CRPCER,IMPCER,2034,1,RE1,S11,RE1,0.0367
RE1,CRPCER,IMPCER,2035,1,RE1,S11,RE1,0.0349
RE1,CRPCER,IMPCER,2036,1,RE1,S11,RE1,0.0332
RE1,CRPCER,IMPCER,2037,1,RE1,S11,RE1,0.0315
RE1,CRPCER,IMPCER,2038,1,RE1,S11,RE1,0.0299
RE1,CRPCER,IMPCER,2039,1,RE1,S11,RE1,0.0269
RE1,CRPCER,IMPCER,2040,1,RE1,S11,RE1,0.0242
RE1,CRPCER,IMPCER,2041,1,RE1,S11,RE1,0.0218
RE1,CRPCER,IMPCER,2042,1,RE1,S11,RE1,0.0196
RE1,CRPCER,IMPCER,2043,1,RE1,S11,RE1,0.0177
RE1,CRPCER,IMPCER,2044,1,RE1,S11,RE1,0.0088
RE1,CRPCER,IMPCER,2045,1,RE1,S11,RE1,0.0044
RE1,CRPCER,IMPCER,2046,1,RE1,S11,RE1,0.0022
RE1,CRPCER,IMPCER,2047,1,RE1,S11,RE1,0.0011
RE1,CRPCER,IMPCER,2048,1,RE1,S11,RE1,0.0006
RE1,CRPCER,IMPCER,2049,1,RE1,S11,RE1,0.0003
RE1,CRPCER,IMPCER,2050,1,RE1,S11,RE1,0.0001
RE1,COA,IMPCOA,2020,1,RE1,S11,RE1,1.2165
RE1,COA,IMPCOA,2021,1,RE1,S11,RE1,1.2927
RE1,COA,IMPCOA,2022,1,RE1,S11,RE1,1.4705
RE1,COA,IMPCOA,2023,1,RE1,S11,RE1,1.6484
RE1,COA,IMPCOA,2024,1,RE1,S11,RE1,1.8262
RE1,COA,IMPCOA,2025,1,RE1,S11,RE1,2.0041
RE1,COA,IMPCOA,2026,1,RE1,S11,RE1,2.1819
RE1,COA,IMPCOA,2027,1,RE1,S11,RE1,2.3597
RE1,COA,IMPCOA,2028,1,RE1,S11,RE1,2.5376
RE1,COA,IMPCOA,2029,1,RE1,S11,RE1,2.7154
RE1,COA,IMPCOA,2030,1,RE1,S11,RE1,2.8933
RE1,COA,IMPCOA,2031,1,RE1,S11,RE1,3.0711
RE1,COA,IMPCOA,2032,1,RE1,S11,RE1,3.2489
RE1,COA,IMPCOA,2033,1,RE1,S11,RE1,3.4268
RE1,COA,IMPCOA,2034,1,RE1,S11,RE1,3.6046
RE1,COA,IMPCOA,2035,1,RE1,S11,RE1,3.7824
RE1,COA,IMPCOA,2036,1,RE1,S11,RE1,3.9603
RE1,COA,IMPCOA,2037,1,RE1,S11,RE1,4.1381
RE1,COA,IMPCOA,2038,1,RE1,S11,RE1,4.316
RE1,COA,IMPCOA,2039,1,RE1,S11,RE1,4.4938
RE1,COA,IMPCOA,2040,1,RE1,S11,RE1,4.6716
RE1,COA,IMPCOA,2041,1,RE1,S11,RE1,4.8495
RE1,COA,IMPCOA,2042,1,RE1,S11,RE1,5.0273
RE1,COA,IMPCOA,2043,1,RE1,S11,RE1,5.2051
RE1,COA,IMPCOA,2044,1,RE1,S11,RE1,5.383
RE1,COA,IMPCOA,2045,1,RE1,S11,RE1,5.5608
RE1,COA,IMPCOA,2046,1,RE1,S11,RE1,5.7387
RE1,COA,IMPCOA,2047,1,RE1,S11,RE1,5.9165
RE1,COA,IMPCOA,2048,1,RE1,S11,RE1,6.0943
RE1,COA,IMPCOA,2049,1,RE1,S11,RE1,6.2722
RE1,COA,IMPCOA,2050,1,RE1,S11,RE1,6.45
RE1,DSL,IMPDSL,2020,1,RE1,S11,RE1,1.9571
RE1,DSL,IMPDSL,2021,1,RE1,S11,RE1,1.8978
RE1,DSL,IMPDSL,2022,1,RE1,S11,RE1,1.1274
RE1,DSL,IMPDSL,2023,1,RE1,S11,RE1,1.0709
RE1,DSL,IMPDSL,2024,1,RE1,S11,RE1,1.1387
RE1,DSL,IMPDSL,2025,1,RE1,S11,RE1,1.1411
RE1,DSL,IMPDSL,2026,1,RE1,S11,RE1,1.1779
RE1,DSL,IMPDSL,2027,1,RE1,S11,RE1,1.2628
RE1,DSL,IMPDSL,2028,1,RE1,S11,RE1,1.2893
RE1,DSL,IMPDSL,2029,1,RE1,S11,RE1,1.3201
RE1,DSL,IMPDSL,2030,1,RE1,S11,RE1,1.3457
RE1,DSL,IMPDSL,2031,1,RE1,S11,RE1,1.3735
RE1,DSL,IMPDSL,2032,1,RE1,S11,RE1,1.3973
RE1,DSL,IMPDSL,2033,1,RE1,S11,RE1,1.421
RE1,DSL,IMPDSL,2034,1,RE1,S11,RE1,2.5084
RE1,DSL,IMPDSL,2035,1,RE1,S11,RE1,3.4283
RE1,DSL,IMPDSL,2036,1,RE1,S11,RE1,5.6067
RE1,DSL,IMPDSL,2037,1,RE1,S11,RE1,8.1812
RE1,DSL,IMPDSL,2038,1,RE1,S11,RE1,11.4052
RE1,DSL,IMPDSL,2039,1,RE1,S11,RE1,16.0964
RE1,DSL,IMPDSL,2040,1,RE1,S11,RE1,14.5093
RE1,DSL,IMPDSL,2041,1,RE1,S11,RE1,15.4412
RE1,DSL,IMPDSL,2042,1,RE1,S11,RE1,18.1524
RE1,DSL,IMPDSL,2043,1,RE1,S11,RE1,20.5585
RE1,DSL,IMPDSL,2044,1,RE1,S11,RE1,22.5467
RE1,DSL,IMPDSL,2045,1,RE1,S11,RE1,20.4051
RE1,DSL,IMPDSL,2046,1,RE1,S11,RE1,17.7528
RE1,DSL,IMPDSL,2047,1,RE1,S11,RE1,8.6869
RE1,DSL,IMPDSL,2048,1,RE1,S11,RE1,8.1196
RE1,DSL,IMPDSL,2049,1,RE1,S11,RE1,3.9729
RE1,DSL,IMPDSL,2050,1,RE1,S11,RE1,1.925
RE1,CRPMAI,IMPMAI,2020,1,RE1,S11,RE1,0.0108
RE1,CRPMAI,IMPMAI,2021,1,RE1,S11,RE1,0.0107
RE1,CRPMAI,IMPMAI,2022,1,RE1,S11,RE1,0.0106
RE1,CRPMAI,IMPMAI,2023,1,RE1,S11,RE1,0.0105
RE1,CRPMAI,IMPMAI,2024,1,RE1,S11,RE1,0.0104
RE1,CRPMAI,IMPMAI,2025,1,RE1,S11,RE1,0.0103
RE1,CRPMAI,IMPMAI,2026,1,RE1,S11,RE1,0.0102
