REGION,COMMODITY,YEAR,VALUE
RE1,CRPTEF,2042,10.57628489
RE1,CRPTEF,2043,10.8512683
RE1,CRPTEF,2044,11.13340128
RE1,CRPTEF,2045,11.42286971
RE1,CRPTEF,2046,11.71986432
RE1,CRPTEF,2047,12.0245808
RE1,CRPTEF,2048,12.3372199
RE1,CRPTEF,2049,12.65798761
RE1,CRPTEF,2050,12.98709529
RE1,CRPMAI,2020,10.096
RE1,CRPMAI,2021,10.358496
RE1,CRPMAI,2022,10.6278169
RE1,CRPMAI,2023,10.90414014
RE1,CRPMAI,2024,11.18764778
RE1,CRPMAI,2025,11.47852662
RE1,CRPMAI,2026,11.77696831
RE1,CRPMAI,2027,12.08316949
RE1,CRPMAI,2028,12.3973319
RE1,CRPMAI,2029,12.71966253
RE1,CRPMAI,2030,13.05037375
RE1,CRPMAI,2031,13.38968347
RE1,CRPMAI,2032,13.73781524
RE1,CRPMAI,2033,14.09499843
RE1,CRPMAI,2034,14.46146839
RE1,CRPMAI,2035,14.83746657
RE1,CRPMAI,2036,15.2232407
RE1,CRPMAI,2037,15.61904496
RE1,CRPMAI,2038,16.02514013
RE1,CRPMAI,2039,16.44179377
RE1,CRPMAI,2040,16.86928041
RE1,CRPMAI,2041,17.3078817
RE1,CRPMAI,2042,17.75788663
RE1,CRPMAI,2043,18.21959168
RE1,CRPMAI,2044,18.69330106
RE1,CRPMAI,2045,19.17932689
RE1,CRPMAI,2046,19.67798939
RE1,CRPMAI,2047,20.18961711
RE1,CRPMAI,2048,20.71454716
RE1,CRPMAI,2049,21.25312539
RE1,CRPMAI,2050,21.80570665
RE1,CRPWHE,2020,6.679
RE1,CRPWHE,2021,6.852654
RE1,CRPWHE,2022,7.030823004
RE1,CRPWHE,2023,7.213624402
RE1,CRPWHE,2024,7.401178637
RE1,CRPWHE,2025,7.593609281
RE1,CRPWHE,2026,7.791043122
RE1,CRPWHE,2027,7.993610244
RE1,CRPWHE,2028,8.20144411
RE1,CRPWHE,2029,8.414681657
RE1,CRPWHE,2030,8.63346338
RE1,CRPWHE,2031,8.857933428
RE1,CRPWHE,2032,9.088239697
RE1,CRPWHE,2033,9.324533929
RE1,CRPWHE,2034,9.566971811
RE1,CRPWHE,2035,9.815713078
RE1,CRPWHE,2036,10.07092162
RE1,CRPWHE,2037,10.33276558
RE1,CRPWHE,2038,10.60141749
RE1,CRPWHE,2039,10.87705434
RE1,CRPWHE,2040,11.15985775
RE1,CRPWHE,2041,11.45001405
RE1,CRPWHE,2042,11.74771442
RE1,CRPWHE,2043,12.05315499
RE1,CRPWHE,2044,12.36653702
RE1,CRPWHE,2045,12.68806699
RE1,CRPWHE,2046,13.01795673
RE1,CRPWHE,2047,13.3564236
RE1,CRPWHE,2048,13.70369062
RE1,CRPWHE,2049,14.05998657
RE1,CRPWHE,2050,14.42554622
RE1,CRPSOR,2020,5.169
RE1,CRPSOR,2021,5.303394
RE1,CRPSOR,2022,5.441282244
RE1,CRPSOR,2023,5.582755582
RE1,CRPSOR,2024,5.727907227
RE1,CRPSOR,2025,5.876832815
RE1,CRPSOR,2026,6.029630469
RE1,CRPSOR,2027,6.186400861
RE1,CRPSOR,2028,6.347247283
RE1,CRPSOR,2029,6.512275713
RE1,CRPSOR,2030,6.681594881
RE1,CRPSOR,2031,6.855316348
RE1,CRPSOR,2032,7.033554573
RE1,CRPSOR,2033,7.216426992
RE1,CRPSOR,2034,7.404054094
RE1,CRPSOR,2035,7.5965595
RE1,CRPSOR,2036,7.794070047
RE1,CRPSOR,2037,7.996715868
RE1,CRPSOR,2038,8.204630481
RE1,CRPSOR,2039,8.417950873
RE1,CRPSOR,2040,8.636817596
RE1,CRPSOR,2041,8.861374854
RE1,CRPSOR,2042,9.0917706
RE1,CRPSOR,2043,9.328156635
RE1,CRPSOR,2044,9.570688708
RE1,CRPSOR,2045,9.819526614
RE1,CRPSOR,2046,10.07483431
RE1,CRPSOR,2047,10.33678
RE1,CRPSOR,2048,10.60553628
RE1,CRPSOR,2049,10.88128022
RE1,CRPSOR,2050,11.16419351
RE1,CRPBRL,2020,2.364
RE1,CRPBRL,2021,2.425464
RE1,CRPBRL,2022,2.488526064
RE1,CRPBRL,2023,2.553227742
RE1,CRPBRL,2024,2.619611663
RE1,CRPBRL,2025,2.687721566
RE1,CRPBRL,2026,2.757602327
RE1,CRPBRL,2027,2.829299987
RE1,CRPBRL,2028,2.902861787
RE1,CRPBRL,2029,2.978336194
RE1,CRPBRL,2030,3.055772935
RE1,CRPBRL,2031,3.135223031
RE1,CRPBRL,2032,3.21673883
RE1,CRPBRL,2033,3.300374039
RE1,CRPBRL,2034,3.386183764
RE1,CRPBRL,2035,3.474224542
RE1,CRPBRL,2036,3.56455438
RE1,CRPBRL,2037,3.657232794
RE1,CRPBRL,2038,3.752320847
RE1,CRPBRL,2039,3.849881189
RE1,CRPBRL,2040,3.9499781
RE1,CRPBRL,2041,4.05267753
RE1,CRPBRL,2042,4.158047146
RE1,CRPBRL,2043,4.266156372
RE1,CRPBRL,2044,4.377076438
RE1,CRPBRL,2045,4.490880425
RE1,CRPBRL,2046,4.607643316
RE1,CRPBRL,2047,4.727442042
RE1,CRPBRL,2048,4.850355535
RE1,CRPBRL,2049,4.976464779
RE1,CRPBRL,2050,5.105852863
RE1,CRPCOF,2020,0.353
RE1,CRPCOF,2021,0.362178
RE1,CRPCOF,2022,0.371594628
RE1,CRPCOF,2023,0.381256088
RE1,CRPCOF,2024,0.391168747
RE1,CRPCOF,2025,0.401339134
RE1,CRPCOF,2026,0.411773952
RE1,CRPCOF,2027,0.422480074
RE1,CRPCOF,2028,0.433464556
RE1,CRPCOF,2029,0.444734635
RE1,CRPCOF,2030,0.456297735
RE1,CRPCOF,2031,0.468161476
RE1,CRPCOF,2032,0.480333675
RE1,CRPCOF,2033,0.49282235
RE1,CRPCOF,2034,0.505635731
RE1,CRPCOF,2035,0.51878226
RE1,CRPCOF,2036,0.532270599
RE1,CRPCOF,2037,0.546109635
RE1,CRPCOF,2038,0.560308485
RE1,CRPCOF,2039,0.574876506
RE1,CRPCOF,2040,0.589823295
RE1,CRPCOF,2041,0.605158701
RE1,CRPCOF,2042,0.620892827
RE1,CRPCOF,2043,0.63703604
RE1,CRPCOF,2044,0.653598977
RE1,CRPCOF,2045,0.670592551
RE1,CRPCOF,2046,0.688027957
RE1,CRPCOF,2047,0.705916684
RE1,CRPCOF,2048,0.724270518
RE1,CRPCOF,2049,0.743101551
RE1,CRPCOF,2050,0.762422192
RE1,CRPOTC,2020,19.158
RE1,CRPOTC,2021,19.656108
RE1,CRPOTC,2022,20.16716681
RE1,CRPOTC,2023,20.69151315
RE1,CRPOTC,2024,21.22949249
RE1,CRPOTC,2025,21.78145929
RE1,CRPOTC,2026,22.34777723
RE1,CRPOTC,2027,22.92881944
RE1,CRPOTC,2028,23.52496875
RE1,CRPOTC,2029,24.13661793
RE1,CRPOTC,2030,24.76417
RE1,CRPOTC,2031,25.40803842
RE1,CRPOTC,2032,26.06864742
RE1,CRPOTC,2033,26.74643225
RE1,CRPOTC,2034,27.44183949
RE1,CRPOTC,2035,28.15532732
RE1,CRPOTC,2036,28.88736583
RE1,CRPOTC,2037,29.63843734
RE1,CRPOTC,2038,30.40903671
RE1,CRPOTC,2039,31.19967166
RE1,CRPOTC,2040,32.01086313
RE1,CRPOTC,2041,32.84314557
RE1,CRPOTC,2042,33.69706735
RE1,CRPOTC,2043,34.57319111
RE1,CRPOTC,2044,35.47209407
RE1,CRPOTC,2045,36.39436852
RE1,CRPOTC,2046,37.3406221
RE1,CRPOTC,2047,38.31147828
RE1,CRPOTC,2048,39.30757671
RE1,CRPOTC,2049,40.32957371
RE1,CRPOTC,2050,41.37814262
RE1,TRABIO,2020,0.303
RE1,TRABIO,2021,0.322
RE1,TRABIO,2022,0.342191419
RE1,TRABIO,2023,0.363648967
RE1,TRABIO,2024,0.386452037
RE1,TRABIO,2025,0.410685003
RE1,TRABIO,2026,0.436437528
RE1,TRABIO,2027,0.463804898
RE1,TRABIO,2028,0.492888374
RE1,TRABIO,2029,0.523795565
RE1,TRABIO,2030,0.556640832
RE1,TRABIO,2031,0.591545703
RE1,TRABIO,2032,0.628639327
RE1,TRABIO,2033,0.668058955
RE1,TRABIO,2034,0.709950441
RE1,TRABIO,2035,0.754468785
RE1,TRABIO,2036,0.801778709
RE1,TRABIO,2037,0.852055262
RE1,TRABIO,2038,0.90548447
RE1,TRABIO,2039,0.962264024
RE1,TRABIO,2040,1.022604012
RE1,TRABIO,2041,1.086727696
RE1,TRABIO,2042,1.154872337
RE1,TRABIO,2043,1.227290075
RE1,TRABIO,2044,1.304248858
RE1,TRABIO,2045,1.38603344
RE1,TRABIO,2046,1.472946428
RE1,TRABIO,2047,1.565309405
RE1,TRABIO,2048,1.66346412
RE1,TRABIO,2049,1.767773752
RE1,TRABIO,2050,1.878624251
RE1,LBLT,2020,2.54402
RE1,LBLT,2021,2.61016452
RE1,LBLT,2022,2.678028798
RE1,LBLT,2023,2.747657546
RE1,LBLT,2024,2.819096642
RE1,LBLT,2025,2.892393155
RE1,LBLT,2026,2.967595377
RE1,LBLT,2027,3.044752857
RE1,LBLT,2028,3.123916431
RE1,LBLT,2029,3.205138258
RE1,LBLT,2030,3.288471853
RE1,LBLT,2031,3.373972121
RE1,LBLT,2032,3.461695397
RE1,LBLT,2033,3.551699477
RE1,LBLT,2034,3.644043663
RE1,LBLT,2035,3.738788799
RE1,LBLT,2036,3.835997307
RE1,LBLT,2037,3.935733237
RE1,LBLT,2038,4.038062301
RE1,LBLT,2039,4.143051921
RE1,LBLT,2040,4.250771271
RE1,LBLT,2041,4.361291324
RE1,LBLT,2042,4.474684899
RE1,LBLT,2043,4.591026706
RE1,LBLT,2044,4.7103934
RE1,LBLT,2045,4.832863629
RE1,LBLT,2046,4.958518083
RE1,LBLT,2047,5.087439553
RE1,LBLT,2048,5.219712982
RE1,LBLT,2049,5.355425519
RE1,LBLT,2050,5.494666583
RE1,LWAT,2020,7.651
RE1,LWAT,2021,7.651
RE1,LWAT,2022,7.651
RE1,LWAT,2023,7.651
RE1,LWAT,2024,7.651
RE1,LWAT,2025,7.651
RE1,LWAT,2026,7.651
RE1,LWAT,2027,7.651
RE1,LWAT,2028,7.651
RE1,LWAT,2029,7.651
RE1,LWAT,2030,7.651
RE1,LWAT,2031,7.651
RE1,LWAT,2032,7.651
RE1,LWAT,2033,7.651
RE1,LWAT,2034,7.651
RE1,LWAT,2035,7.651
RE1,LWAT,2036,7.651
RE1,LWAT,2037,7.651
RE1,LWAT,2038,7.651
RE1,LWAT,2039,7.651
RE1,LWAT,2040,7.651
RE1,LWAT,2041,7.651
RE1,LWAT,2042,7.651
RE1,LWAT,2043,7.651
RE1,LWAT,2044,7.651
RE1,LWAT,2045,7.651
RE1,LWAT,2046,7.651
RE1,LWAT,2047,7.651
RE1,LWAT,2048,7.651
RE1,LWAT,2049,7.651
RE1,LWAT,2050,7.651
RE1,PUBWAT,2020,0.8611
RE1,PUBWAT,2021,0.8611
RE1,PUBWAT,2022,0.8834886
RE1,PUBWAT,2023,0.906459304
RE1,PUBWAT,2024,0.930027245
RE1,PUBWAT,2025,0.954207954
RE1,PUBWAT,2026,0.979017361
RE1,PUBWAT,2027,1.004471812
RE1,PUBWAT,2028,1.030588079
RE1,PUBWAT,2029,1.057383369
RE1,PUBWAT,2030,1.084875337
RE1,PUBWAT,2031,1.113082096
RE1,PUBWAT,2032,1.14202223
RE1,PUBWAT,2033,1.171714808
RE1,PUBWAT,2034,1.202179393
RE1,PUBWAT,2035,1.233436057
RE1,PUBWAT,2036,1.265505395
RE1,PUBWAT,2037,1.298408535
RE1,PUBWAT,2038,1.332167157
RE1,PUBWAT,2039,1.366803503
RE1,PUBWAT,2040,1.402340394
RE1,PUBWAT,2041,1.438801244
RE1,PUBWAT,2042,1.476210077
RE1,PUBWAT,2043,1.514591539
RE1,PUBWAT,2044,1.553970919
RE1,PUBWAT,2045,1.594374163
RE1,PUBWAT,2046,1.635827891
RE1,PUBWAT,2047,1.678359416
RE1,PUBWAT,2048,1.721996761
RE1,PUBWAT,2049,1.766768677
RE1,PUBWAT,2050,1.812704662
RE1,DEMTRA,2020,94.855
RE1,DEMTRA,2021,98.464
RE1,DEMTRA,2022,129.5514483
RE1,DEMTRA,2023,160.6388966
RE1,DEMTRA,2024,191.7263448
RE1,DEMTRA,2025,222.8137931
RE1,DEMTRA,2026,253.9012414
RE1,DEMTRA,2027,284.9886897
RE1,DEMTRA,2028,316.0761379
RE1,DEMTRA,2029,347.1635862
RE1,DEMTRA,2030,378.2510345
RE1,DEMTRA,2031,409.3384828
RE1,DEMTRA,2032,440.425931
RE1,DEMTRA,2033,471.5133793
RE1,DEMTRA,2034,502.6008276
RE1,DEMTRA,2035,533.6882759
RE1,DEMTRA,2036,564.7757241
RE1,DEMTRA,2037,595.8631724
RE1,DEMTRA,2038,626.9506207
RE1,DEMTRA,2039,658.038069
RE1,DEMTRA,2040,689.1255172
RE1,DEMTRA,2041,720.2129655
RE1,DEMTRA,2042,751.3004138
RE1,DEMTRA,2043,782.3878621
RE1,DEMTRA,2044,813.4753103
RE1,DEMTRA,2045,844.5627586
RE1,DEMTRA,2046,875.6502069
RE1,DEMTRA,2047,906.7376552
RE1,DEMTRA,2048,937.8251034
RE1,DEMTRA,2049,968.9125517
RE1,DEMTRA,2050,1000.0
